"nom géographique, anglais","nom géographique, français","type de géographie, anglais","type de géographie, français",code du division de recensement,code de la région économique,code de la province,code de la région de patrimoine canadien,Total,Anglais première langue officielle parlée ajusté,"français première langue officielle parlée, ajusté","Autre première langue officielle parlée, ajusté"
"geographic name, english","geographic name, french","georaphie type, english","georaphie type, french",census division code,economic region code,province code,canadian heritage region code,Total,"English first official language spoken, adjusted","French first official language spoken, adjusted","Other first official language spoken, adjusted"
Abrams Village,Abrams Village,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,265,50,215, -   
Lot 16,Lot 16,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,735,598,138, -   
Wellington,Wellington,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,375,175,200, -   
Lot 14,Lot 14,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,765,653,113, -   
Lot 13,Lot 13,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,730,713,18, -   
Tyne Valley,Tyne Valley,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,205,205, -   , -   
Lot 12,Lot 12,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,870,860,10, -   
Lennox Island 1,Lennox Island 1,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,290,290, -   , -   
Lot 11,Lot 11,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,495,490,5, -   
Lot 10,Lot 10,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,315,310,5, -   
Lot  6,Lot  6,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,830,820,10, -   
O'Leary,O'Leary,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,750,740,10, -   
Lot  9,Lot  9,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,305,300,5, -   
Lot  8,Lot  8,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,595,590,5, -   
Lot  7,Lot  7,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,475,470,5, -   
Lot  5,Lot  5,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,"1,340","1,310",30, -   
Lot  4,Lot  4,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,"1,095","1,080",15, -   
Alberton,Alberton,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,"1,055","1,030",25, -   
Lot  3,Lot  3,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,860,835,25, -   
Lot  2,Lot  2,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,"1,485","1,273",213, -   
St. Louis,St. Louis,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,50,40,10, -   
Lot  1,Lot  1,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,"1,785","1,620",165, -   
Tignish,Tignish,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,775,683,93, -   
Miminegash,Miminegash,census subdivision,Subdivision de recensement,cd1103,er1110,pr11,pch01,170,165,5, -   
Barrington,Barrington,census subdivision,Subdivision de recensement,cd1201,er1240,pr12,pch01,"6,970","6,878",88,5
Clark's Harbour,Clark's Harbour,census subdivision,Subdivision de recensement,cd1201,er1240,pr12,pch01,820,815,5, -   
Shelburne,Shelburne,census subdivision,Subdivision de recensement,cd1201,er1240,pr12,pch01,"4,345","4,310",30,5
Shelburne,Shelburne,census subdivision,Subdivision de recensement,cd1201,er1240,pr12,pch01,"1,680","1,665",15, -   
Lockeport,Lockeport,census subdivision,Subdivision de recensement,cd1201,er1240,pr12,pch01,545,545, -   , -   
Argyle,Argyle,census subdivision,Subdivision de recensement,cd1202,er1240,pr12,pch01,"8,220","4,523","3,698", -   
Yarmouth,Yarmouth,census subdivision,Subdivision de recensement,cd1202,er1240,pr12,pch01,"10,035","9,270",760,5
Yarmouth,Yarmouth,census subdivision,Subdivision de recensement,cd1202,er1240,pr12,pch01,"6,545","6,105",440, -   
Clare,Clare,census subdivision,Subdivision de recensement,cd1203,er1240,pr12,pch01,"8,155","2,953","5,188",15
Digby,Digby,census subdivision,Subdivision de recensement,cd1203,er1240,pr12,pch01,"7,465","7,208",258, -   
Digby,Digby,census subdivision,Subdivision de recensement,cd1203,er1240,pr12,pch01,"2,060","1,995",60,5
Bear River 6,Bear River 6,census subdivision,Subdivision de recensement,cd1203,er1240,pr12,pch01,100,100, -   , -   
Queens,Queens,census subdivision,Subdivision de recensement,cd1204,er1240,pr12,pch01,"10,780","10,698",83, -   
"Annapolis, Subd. D","Annapolis, Subd. D",census subdivision,Subdivision de recensement,cd1205,er1230,pr12,pch01,"2,905","2,823",83, -   
"Annapolis, Subd. A","Annapolis, Subd. A",census subdivision,Subdivision de recensement,cd1205,er1230,pr12,pch01,"5,940","5,868",73, -   
Annapolis Royal,Annapolis Royal,census subdivision,Subdivision de recensement,cd1205,er1230,pr12,pch01,485,470,15, -   
"Annapolis, Subd. B","Annapolis, Subd. B",census subdivision,Subdivision de recensement,cd1205,er1230,pr12,pch01,"3,500","3,435",60,5
Bridgetown,Bridgetown,census subdivision,Subdivision de recensement,cd1205,er1230,pr12,pch01,945,940,5, -   
"Annapolis, Subd. C","Annapolis, Subd. C",census subdivision,Subdivision de recensement,cd1205,er1230,pr12,pch01,"5,020","4,880",135,5
Middleton,Middleton,census subdivision,Subdivision de recensement,cd1205,er1230,pr12,pch01,"1,675","1,655",20, -   
Lunenburg,Lunenburg,census subdivision,Subdivision de recensement,cd1206,er1240,pr12,pch01,"25,000","24,765",235, -   
Bridgewater,Bridgewater,census subdivision,Subdivision de recensement,cd1206,er1240,pr12,pch01,"8,080","7,968",108,5
Lunenburg,Lunenburg,census subdivision,Subdivision de recensement,cd1206,er1240,pr12,pch01,"2,145","2,110",35, -   
Mahone Bay,Mahone Bay,census subdivision,Subdivision de recensement,cd1206,er1240,pr12,pch01,885,875,10, -   
Chester,Chester,census subdivision,Subdivision de recensement,cd1206,er1240,pr12,pch01,"10,560","10,445",110,5
Gold River 21,Gold River 21,census subdivision,Subdivision de recensement,cd1206,er1240,pr12,pch01,80,80, -   , -   
"Kings, Subd. A","Kings, Subd. A",census subdivision,Subdivision de recensement,cd1207,er1230,pr12,pch01,"21,840","21,080",745,15
Cambridge 32,Cambridge 32,census subdivision,Subdivision de recensement,cd1207,er1230,pr12,pch01,145,145, -   , -   
Berwick,Berwick,census subdivision,Subdivision de recensement,cd1207,er1230,pr12,pch01,"2,260","2,230",30, -   
"Kings, Subd. C","Kings, Subd. C",census subdivision,Subdivision de recensement,cd1207,er1230,pr12,pch01,"8,270","8,148",108,15
Kentville,Kentville,census subdivision,Subdivision de recensement,cd1207,er1230,pr12,pch01,"5,895","5,805",85,5
"Kings, Subd. B","Kings, Subd. B",census subdivision,Subdivision de recensement,cd1207,er1230,pr12,pch01,"11,975","11,848",103,25
"Kings, Subd. D","Kings, Subd. D",census subdivision,Subdivision de recensement,cd1207,er1230,pr12,pch01,"5,140","5,093",48, -   
Wolfville,Wolfville,census subdivision,Subdivision de recensement,cd1207,er1230,pr12,pch01,"4,145","4,080",55,10
Glooscap 35,Glooscap 35,census subdivision,Subdivision de recensement,cd1207,er1230,pr12,pch01,60,60, -   , -   
West Hants,West Hants,census subdivision,Subdivision de recensement,cd1208,er1230,pr12,pch01,"14,135","14,008",123,5
Windsor,Windsor,census subdivision,Subdivision de recensement,cd1208,er1230,pr12,pch01,"3,485","3,448",38, -   
Hantsport,Hantsport,census subdivision,Subdivision de recensement,cd1208,er1230,pr12,pch01,"1,150","1,140",10, -   
East Hants,East Hants,census subdivision,Subdivision de recensement,cd1208,er1230,pr12,pch01,"22,100","21,730",295,75
Indian Brook 14,Indian Brook 14,census subdivision,Subdivision de recensement,cd1208,er1230,pr12,pch01,"1,080","1,080", -   , -   
Cole Harbour 30,Cole Harbour 30,census subdivision,Subdivision de recensement,cd1209,er1250,pr12,pch01,195,195, -   , -   
Halifax,Halifax,census subdivision,Subdivision de recensement,cd1209,er1250,pr12,pch01,"386,200","374,768","10,303","1,130"
"Colchester, Subd. C","Colchester, Subd. C",census subdivision,Subdivision de recensement,cd1210,er1220,pr12,pch01,"13,270","13,153",118, -   
Stewiacke,Stewiacke,census subdivision,Subdivision de recensement,cd1210,er1220,pr12,pch01,"1,435","1,430",5, -   
Millbrook 27,Millbrook 27,census subdivision,Subdivision de recensement,cd1210,er1220,pr12,pch01,785,780,5, -   
Truro,Truro,census subdivision,Subdivision de recensement,cd1210,er1220,pr12,pch01,"11,820","11,690",120,10
"Colchester, Subd. B","Colchester, Subd. B",census subdivision,Subdivision de recensement,cd1210,er1220,pr12,pch01,"19,460","19,278",173,10
"Colchester, Subd. A","Colchester, Subd. A",census subdivision,Subdivision de recensement,cd1210,er1220,pr12,pch01,"3,640","3,600",35,5
"Cumberland, Subd. A","Cumberland, Subd. A",census subdivision,Subdivision de recensement,cd1211,er1220,pr12,pch01,"2,130","2,115",10,5
Parrsboro,Parrsboro,census subdivision,Subdivision de recensement,cd1211,er1220,pr12,pch01,"1,290","1,280",10, -   
"Cumberland, Subd. B","Cumberland, Subd. B",census subdivision,Subdivision de recensement,cd1211,er1220,pr12,pch01,"3,585","3,550",35, -   
Springhill,Springhill,census subdivision,Subdivision de recensement,cd1211,er1220,pr12,pch01,"3,405","3,380",25, -   
"Cumberland, Subd. C","Cumberland, Subd. C",census subdivision,Subdivision de recensement,cd1211,er1220,pr12,pch01,"5,305","5,240",65, -   
Amherst,Amherst,census subdivision,Subdivision de recensement,cd1211,er1220,pr12,pch01,"9,540","9,410",130, -   
Oxford,Oxford,census subdivision,Subdivision de recensement,cd1211,er1220,pr12,pch01,"1,105","1,100",5, -   
"Cumberland, Subd. D","Cumberland, Subd. D",census subdivision,Subdivision de recensement,cd1211,er1220,pr12,pch01,"4,105","4,080",25, -   
"Pictou, Subd. A","Pictou, Subd. A",census subdivision,Subdivision de recensement,cd1212,er1220,pr12,pch01,"6,390","6,290",65,35
Pictou,Pictou,census subdivision,Subdivision de recensement,cd1212,er1220,pr12,pch01,"3,275","3,215",60, -   
"Pictou, Subd. B","Pictou, Subd. B",census subdivision,Subdivision de recensement,cd1212,er1220,pr12,pch01,"5,825","5,785",40, -   
Westville,Westville,census subdivision,Subdivision de recensement,cd1212,er1220,pr12,pch01,"3,790","3,768",23, -   
Stellarton,Stellarton,census subdivision,Subdivision de recensement,cd1212,er1220,pr12,pch01,"4,465","4,435",30, -   
"Pictou, Subd. C","Pictou, Subd. C",census subdivision,Subdivision de recensement,cd1212,er1220,pr12,pch01,"8,860","8,798",58,5
New Glasgow,New Glasgow,census subdivision,Subdivision de recensement,cd1212,er1220,pr12,pch01,"9,275","9,185",75,15
Trenton,Trenton,census subdivision,Subdivision de recensement,cd1212,er1220,pr12,pch01,"2,610","2,595",15, -   
Fisher's Grant 24,Fisher's Grant 24,census subdivision,Subdivision de recensement,cd1212,er1220,pr12,pch01,465,465, -   , -   
St. Mary's,St. Mary's,census subdivision,Subdivision de recensement,cd1213,er1220,pr12,pch01,"2,315","2,300",15, -   
Guysborough,Guysborough,census subdivision,Subdivision de recensement,cd1213,er1220,pr12,pch01,"4,135","4,045",90, -   
Canso,Canso,census subdivision,Subdivision de recensement,cd1213,er1220,pr12,pch01,790,785,5, -   
Mulgrave,Mulgrave,census subdivision,Subdivision de recensement,cd1213,er1220,pr12,pch01,790,790, -   , -   
"Antigonish, Subd. A","Antigonish, Subd. A",census subdivision,Subdivision de recensement,cd1214,er1220,pr12,pch01,"8,240","8,118",118,5
Antigonish,Antigonish,census subdivision,Subdivision de recensement,cd1214,er1220,pr12,pch01,"4,400","4,315",75,10
"Antigonish, Subd. B","Antigonish, Subd. B",census subdivision,Subdivision de recensement,cd1214,er1220,pr12,pch01,"6,435","6,093",343, -   
Pomquet And Afton 23,Pomquet And Afton 23,census subdivision,Subdivision de recensement,cd1214,er1220,pr12,pch01,375,375, -   , -   
"Inverness, Subd. C","Inverness, Subd. C",census subdivision,Subdivision de recensement,cd1215,er1210,pr12,pch01,"3,315","3,265",50, -   
Port Hawkesbury,Port Hawkesbury,census subdivision,Subdivision de recensement,cd1215,er1210,pr12,pch01,"3,310","3,183",128, -   
"Inverness, Subd. B","Inverness, Subd. B",census subdivision,Subdivision de recensement,cd1215,er1210,pr12,pch01,"5,040","4,985",55, -   
Whycocomagh 2,Whycocomagh 2,census subdivision,Subdivision de recensement,cd1215,er1210,pr12,pch01,795,793,3, -   
"Inverness, Subd. A","Inverness, Subd. A",census subdivision,Subdivision de recensement,cd1215,er1210,pr12,pch01,"5,195","3,150","2,045", -   
"Richmond, Subd. C","Richmond, Subd. C",census subdivision,Subdivision de recensement,cd1216,er1210,pr12,pch01,"3,250","1,860","1,385",5
"Richmond, Subd. A","Richmond, Subd. A",census subdivision,Subdivision de recensement,cd1216,er1210,pr12,pch01,"3,860","3,465",395, -   
"Richmond, Subd. B","Richmond, Subd. B",census subdivision,Subdivision de recensement,cd1216,er1210,pr12,pch01,"1,570","1,385",185, -   
Chapel Island 5,Chapel Island 5,census subdivision,Subdivision de recensement,cd1216,er1210,pr12,pch01,480,480, -   , -   
Membertou 28B,Membertou 28B,census subdivision,Subdivision de recensement,cd1217,er1210,pr12,pch01,915,913,3, -   
Eskasoni 3,Eskasoni 3,census subdivision,Subdivision de recensement,cd1217,er1210,pr12,pch01,"3,310","3,273",8,30
Cape Breton,Cape Breton,census subdivision,Subdivision de recensement,cd1217,er1210,pr12,pch01,"95,880","95,045",790,45
"Victoria, Subd. B","Victoria, Subd. B",census subdivision,Subdivision de recensement,cd1218,er1210,pr12,pch01,"3,825","3,795",25,5
Wagmatcook 1,Wagmatcook 1,census subdivision,Subdivision de recensement,cd1218,er1210,pr12,pch01,525,523,3, -   
"Victoria, Subd. A","Victoria, Subd. A",census subdivision,Subdivision de recensement,cd1218,er1210,pr12,pch01,"2,745","2,725",20, -   
Saint Martins,Saint Martins,census subdivision,Subdivision de recensement,cd1301,er1330,pr13,pch01,"1,145","1,120",25, -   
St. Martins,St. Martins,census subdivision,Subdivision de recensement,cd1301,er1330,pr13,pch01,315,310,5, -   
Simonds,Simonds,census subdivision,Subdivision de recensement,cd1301,er1330,pr13,pch01,"3,835","3,708",128, -   
Saint John,Saint John,census subdivision,Subdivision de recensement,cd1301,er1330,pr13,pch01,"68,805","65,540","3,050",215
Musquash,Musquash,census subdivision,Subdivision de recensement,cd1301,er1330,pr13,pch01,"1,195","1,150",45, -   
Grand Manan,Grand Manan,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,160,160, -   , -   
Campobello Island,Campobello Island,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,895,890,5, -   
West Isles,West Isles,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,735,720,15, -   
Lepreau,Lepreau,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,755,735,15,5
Pennfield,Pennfield,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,"2,195","2,110",80,5
Blacks Harbour,Blacks Harbour,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,955,900,50,5
Clarendon,Clarendon,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,55,55, -   , -   
Saint George,Saint George,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,"2,460","2,435",25, -   
St. George,St. George,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,"1,535","1,473",43,20
Saint Patrick,Saint Patrick,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,645,640,5, -   
Saint Andrews,Saint Andrews,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,590,570,20, -   
Saint Andrews,Saint Andrews,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,"1,835","1,793",43, -   
Saint Croix,Saint Croix,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,615,605,10, -   
Dufferin,Dufferin,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,575,560,15, -   
Saint Stephen,Saint Stephen,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,"1,950","1,925",25, -   
St. Stephen,St. Stephen,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,"4,725","4,630",90,5
Saint James,Saint James,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,"1,230","1,215",15, -   
Saint David,Saint David,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,"1,590","1,555",35, -   
Dumbarton,Dumbarton,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,365,360,5, -   
Grand Manan,Grand Manan,census subdivision,Subdivision de recensement,cd1302,er1330,pr13,pch01,"2,345","2,325",20, -   
Blissville,Blissville,census subdivision,Subdivision de recensement,cd1303,er1340,pr13,pch01,930,910,20, -   
Gladstone,Gladstone,census subdivision,Subdivision de recensement,cd1303,er1340,pr13,pch01,485,460,20,5
Tracy,Tracy,census subdivision,Subdivision de recensement,cd1303,er1340,pr13,pch01,615,600,15, -   
Fredericton Junction,Fredericton Junction,census subdivision,Subdivision de recensement,cd1303,er1340,pr13,pch01,720,690,30, -   
Lincoln,Lincoln,census subdivision,Subdivision de recensement,cd1303,er1340,pr13,pch01,"6,460","5,963",498, -   
Burton,Burton,census subdivision,Subdivision de recensement,cd1303,er1340,pr13,pch01,"5,405","5,025",380, -   
Oromocto,Oromocto,census subdivision,Subdivision de recensement,cd1303,er1340,pr13,pch01,"8,915","7,660","1,250",5
Oromocto 26,Oromocto 26,census subdivision,Subdivision de recensement,cd1303,er1340,pr13,pch01,290,285,5, -   
Sheffield,Sheffield,census subdivision,Subdivision de recensement,cd1303,er1340,pr13,pch01,855,828,28, -   
Maugerville,Maugerville,census subdivision,Subdivision de recensement,cd1303,er1340,pr13,pch01,"1,775","1,685",90, -   
Northfield,Northfield,census subdivision,Subdivision de recensement,cd1303,er1340,pr13,pch01,640,620,20, -   
Petersville,Petersville,census subdivision,Subdivision de recensement,cd1304,er1340,pr13,pch01,725,680,45, -   
Gagetown,Gagetown,census subdivision,Subdivision de recensement,cd1304,er1340,pr13,pch01,310,305,5, -   
Gagetown,Gagetown,census subdivision,Subdivision de recensement,cd1304,er1340,pr13,pch01,635,618,18, -   
Hampstead,Hampstead,census subdivision,Subdivision de recensement,cd1304,er1340,pr13,pch01,300,283,18, -   
Wickham,Wickham,census subdivision,Subdivision de recensement,cd1304,er1340,pr13,pch01,415,410,5, -   
Cambridge,Cambridge,census subdivision,Subdivision de recensement,cd1304,er1340,pr13,pch01,570,560,10, -   
Cambridge-Narrows,Cambridge-Narrows,census subdivision,Subdivision de recensement,cd1304,er1340,pr13,pch01,620,605,15, -   
Johnston,Johnston,census subdivision,Subdivision de recensement,cd1304,er1340,pr13,pch01,655,640,15, -   
Brunswick,Brunswick,census subdivision,Subdivision de recensement,cd1304,er1340,pr13,pch01,190,170,20, -   
Waterborough,Waterborough,census subdivision,Subdivision de recensement,cd1304,er1340,pr13,pch01,850,820,30, -   
Canning,Canning,census subdivision,Subdivision de recensement,cd1304,er1340,pr13,pch01,950,920,30, -   
Minto,Minto,census subdivision,Subdivision de recensement,cd1304,er1340,pr13,pch01,"2,470","2,300",170, -   
Chipman,Chipman,census subdivision,Subdivision de recensement,cd1304,er1340,pr13,pch01,960,945,15, -   
Chipman,Chipman,census subdivision,Subdivision de recensement,cd1304,er1340,pr13,pch01,"1,240","1,205",35, -   
Hammond,Hammond,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,295,295, -   , -   
Upham,Upham,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,"1,310","1,280",25,5
Hampton,Hampton,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,"2,735","2,650",85, -   
Hampton,Hampton,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,"4,275","4,153",123, -   
Rothesay,Rothesay,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,345,315,30, -   
Westfield,Westfield,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,"2,080","2,030",50, -   
Kingston,Kingston,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,"2,935","2,870",65, -   
Grand Bay-Westfield,Grand Bay-Westfield,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,"5,115","4,905",205,5
Norton,Norton,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,"1,285","1,250",35, -   
Norton,Norton,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,"1,290","1,275",15, -   
Sussex,Sussex,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,"2,515","2,465",50, -   
Sussex,Sussex,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,"4,225","4,153",68,5
Sussex Corner,Sussex Corner,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,"1,500","1,470",30, -   
Waterford,Waterford,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,455,450,5, -   
Cardwell,Cardwell,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,"1,415","1,390",25, -   
Havelock,Havelock,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,"1,155","1,138",18, -   
Studholm,Studholm,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,"3,555","3,508",48, -   
Springfield,Springfield,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,"1,640","1,615",25, -   
Kars,Kars,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,395,395, -   , -   
Greenwich,Greenwich,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,"1,050","1,035",15, -   
Rothesay,Rothesay,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,"11,945","11,440",485,20
Quispamsis,Quispamsis,census subdivision,Subdivision de recensement,cd1305,er1330,pr13,pch01,"17,735","16,878",848,10
Hopewell,Hopewell,census subdivision,Subdivision de recensement,cd1306,er1320,pr13,pch01,640,625,15, -   
Riverside-Albert,Riverside-Albert,census subdivision,Subdivision de recensement,cd1306,er1320,pr13,pch01,310,305,5, -   
Harvey,Harvey,census subdivision,Subdivision de recensement,cd1306,er1320,pr13,pch01,375,363,13, -   
Alma,Alma,census subdivision,Subdivision de recensement,cd1306,er1320,pr13,pch01,235,225,10, -   
Elgin,Elgin,census subdivision,Subdivision de recensement,cd1306,er1320,pr13,pch01,965,930,35, -   
Hillsborough,Hillsborough,census subdivision,Subdivision de recensement,cd1306,er1320,pr13,pch01,"1,400","1,360",40, -   
Coverdale,Coverdale,census subdivision,Subdivision de recensement,cd1306,er1320,pr13,pch01,"4,400","4,173",228, -   
Riverview,Riverview,census subdivision,Subdivision de recensement,cd1306,er1320,pr13,pch01,"18,950","17,485","1,460",5
Hillsborough,Hillsborough,census subdivision,Subdivision de recensement,cd1306,er1320,pr13,pch01,"1,340","1,310",30, -   
Westmorland,Westmorland,census subdivision,Subdivision de recensement,cd1307,er1320,pr13,pch01,965,945,15,5
Port Elgin,Port Elgin,census subdivision,Subdivision de recensement,cd1307,er1320,pr13,pch01,385,365,20, -   
Botsford,Botsford,census subdivision,Subdivision de recensement,cd1307,er1320,pr13,pch01,"1,075","1,040",35, -   
Beaubassin East / Beaubassin-est,Beaubassin East / Beaubassin-est,census subdivision,Subdivision de recensement,cd1307,er1320,pr13,pch01,"6,200","1,243","4,953",5
Cap-Pelé,Cap-Pelé,census subdivision,Subdivision de recensement,cd1307,er1320,pr13,pch01,"2,230",365,"1,855",10
Sackville,Sackville,census subdivision,Subdivision de recensement,cd1307,er1320,pr13,pch01,"1,335","1,275",60, -   
Sackville,Sackville,census subdivision,Subdivision de recensement,cd1307,er1320,pr13,pch01,"5,405","5,183",218,5
Dorchester,Dorchester,census subdivision,Subdivision de recensement,cd1307,er1320,pr13,pch01,470,385,85, -   
Dorchester,Dorchester,census subdivision,Subdivision de recensement,cd1307,er1320,pr13,pch01,490,460,30, -   
Memramcook,Memramcook,census subdivision,Subdivision de recensement,cd1307,er1320,pr13,pch01,"4,780",820,"3,960", -   
Fort Folly 1,Fort Folly 1,census subdivision,Subdivision de recensement,cd1307,er1320,pr13,pch01,45,45, -   , -   
Shediac,Shediac,census subdivision,Subdivision de recensement,cd1307,er1320,pr13,pch01,"4,900","2,143","2,758", -   
Moncton,Moncton,census subdivision,Subdivision de recensement,cd1307,er1320,pr13,pch01,"9,420","6,790","2,625",5
Moncton,Moncton,census subdivision,Subdivision de recensement,cd1307,er1320,pr13,pch01,"67,930","45,870","21,925",135
Salisbury,Salisbury,census subdivision,Subdivision de recensement,cd1307,er1320,pr13,pch01,"3,365","3,280",85, -   
Salisbury,Salisbury,census subdivision,Subdivision de recensement,cd1307,er1320,pr13,pch01,"2,195","2,103",93, -   
Petitcodiac,Petitcodiac,census subdivision,Subdivision de recensement,cd1307,er1320,pr13,pch01,"1,435","1,413",23, -   
Dieppe,Dieppe,census subdivision,Subdivision de recensement,cd1307,er1320,pr13,pch01,"22,885","5,965","16,895",25
Shediac,Shediac,census subdivision,Subdivision de recensement,cd1307,er1320,pr13,pch01,"5,695","1,405","4,290", -   
Dundas,Dundas,census subdivision,Subdivision de recensement,cd1308,er1320,pr13,pch01,"6,240","1,198","5,043", -   
Buctouche 16,Buctouche 16,census subdivision,Subdivision de recensement,cd1308,er1320,pr13,pch01,85,80,5, -   
Wellington,Wellington,census subdivision,Subdivision de recensement,cd1308,er1320,pr13,pch01,"3,320",500,"2,820", -   
Bouctouche,Bouctouche,census subdivision,Subdivision de recensement,cd1308,er1320,pr13,pch01,"2,315",210,"2,105", -   
Saint Mary,Saint Mary,census subdivision,Subdivision de recensement,cd1308,er1320,pr13,pch01,"2,005",328,"1,673",5
Saint-Antoine,Saint-Antoine,census subdivision,Subdivision de recensement,cd1308,er1320,pr13,pch01,"1,680",183,"1,498", -   
Saint-Paul,Saint-Paul,census subdivision,Subdivision de recensement,cd1308,er1320,pr13,pch01,865,323,543, -   
Harcourt,Harcourt,census subdivision,Subdivision de recensement,cd1308,er1320,pr13,pch01,380,300,80, -   
Weldford,Weldford,census subdivision,Subdivision de recensement,cd1308,er1320,pr13,pch01,"1,325","1,143",183, -   
Richibucto 15,Richibucto 15,census subdivision,Subdivision de recensement,cd1308,er1320,pr13,pch01,"1,990","1,950",35,5
Richibucto,Richibucto,census subdivision,Subdivision de recensement,cd1308,er1320,pr13,pch01,"1,965",735,"1,230", -   
Rexton,Rexton,census subdivision,Subdivision de recensement,cd1308,er1320,pr13,pch01,785,563,223, -   
Richibucto,Richibucto,census subdivision,Subdivision de recensement,cd1308,er1320,pr13,pch01,"1,265",378,883,5
Saint-Charles,Saint-Charles,census subdivision,Subdivision de recensement,cd1308,er1320,pr13,pch01,"1,975",293,"1,683", -   
Indian Island 28,Indian Island 28,census subdivision,Subdivision de recensement,cd1308,er1320,pr13,pch01,100,95,5, -   
Saint-Louis,Saint-Louis,census subdivision,Subdivision de recensement,cd1308,er1320,pr13,pch01,"1,695",160,"1,535", -   
Saint-Louis de Kent,Saint-Louis de Kent,census subdivision,Subdivision de recensement,cd1308,er1320,pr13,pch01,835,100,735, -   
Acadieville,Acadieville,census subdivision,Subdivision de recensement,cd1308,er1320,pr13,pch01,730,73,658, -   
Carleton,Carleton,census subdivision,Subdivision de recensement,cd1308,er1320,pr13,pch01,770,158,613, -   
Hardwicke,Hardwicke,census subdivision,Subdivision de recensement,cd1309,er1310,pr13,pch01,"2,330",760,"1,570", -   
Glenelg,Glenelg,census subdivision,Subdivision de recensement,cd1309,er1310,pr13,pch01,"1,605","1,510",95, -   
